Date,Open,High,Low,Close
11/01/2018 3:15,1.19393,1.19409,1.19363,1.19399
11/01/2018 3:20,1.19398,1.19403,1.19372,1.1938
11/01/2018 3:25,1.19379,1.19379,1.19293,1.19327
11/01/2018 3:30,1.19328,1.19347,1.1931,1.19339
11/01/2018 3:35,1.19337,1.19384,1.19325,1.19384
11/01/2018 3:40,1.19385,1.194,1.19349,1.19353
11/01/2018 3:45,1.19353,1.19371,1.19348,1.19359
11/01/2018 3:50,1.1936,1.19378,1.19344,1.19378
11/01/2018 3:55,1.19381,1.1939,1.1935,1.1938
11/01/2018 4:00,1.19379,1.19404,1.19333,1.19366
11/01/2018 4:05,1.19367,1.19405,1.19362,1.19366
11/01/2018 4:10,1.19365,1.1944,1.19363,1.19429
11/01/2018 4:15,1.1943,1.19458,1.19417,1.1943
11/01/2018 4:20,1.19431,1.1947,1.19431,1.19432
11/01/2018 4:25,1.19433,1.19433,1.19404,1.19413
11/01/2018 4:30,1.19415,1.19422,1.19384,1.19399
11/01/2018 4:35,1.194,1.1942,1.19373,1.19408
11/01/2018 4:40,1.19408,1.19497,1.19407,1.19468
11/01/2018 4:45,1.19469,1.19479,1.19419,1.19427
11/01/2018 4:50,1.19428,1.19463,1.19427,1.19459
11/01/2018 4:55,1.19458,1.19484,1.19434,1.19477
11/01/2018 5:00,1.19477,1.19497,1.19465,1.19489
11/01/2018 5:05,1.19488,1.19491,1.19452,1.19456
11/01/2018 5:10,1.19456,1.19475,1.19439,1.1944
11/01/2018 5:15,1.19442,1.19451,1.19387,1.1943
11/01/2018 5:20,1.19429,1.19433,1.19402,1.19405
11/01/2018 5:25,1.19405,1.19485,1.19405,1.19476
11/01/2018 5:30,1.19475,1.19513,1.19472,1.19496
